,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey
 Total - Age groups and average age of the population - 100% data ,-850.0,18615.0,-55.0,4325.0,1445.0,4660.0,-640.0,2145.0,2450.0,675.0,9340.0,305.0,2645.0,740.0,-470.0,900.0,665.0,1270.0,1865.0,2640.0,75.0
  0 to 4 years,-65.0,620.0,-480.0,285.0,-205.0,145.0,-180.0,90.0,125.0,-30.0,575.0,100.0,-320.0,-65.0,-40.0,-45.0,25.0,-470.0,-40.0,-55.0,-165.0
  5 to 9 years,-35.0,145.0,-55.0,150.0,-135.0,-5.0,-70.0,15.0,280.0,-70.0,70.0,-35.0,-385.0,50.0,-80.0,15.0,-40.0,-405.0,-150.0,-85.0,15.0
  10 to 14 years,-235.0,100.0,195.0,40.0,-260.0,-290.0,-90.0,-145.0,95.0,-330.0,-85.0,-95.0,-615.0,50.0,35.0,55.0,-95.0,-135.0,-320.0,-65.0,75.0
  15 to 19 years,-120.0,135.0,140.0,25.0,-145.0,60.0,-230.0,-90.0,120.0,-255.0,-80.0,-95.0,-245.0,-50.0,-90.0,40.0,-70.0,325.0,-205.0,-210.0,95.0
  20 to 24 years,110.0,130.0,115.0,-50.0,155.0,270.0,85.0,-10.0,-145.0,180.0,-45.0,-25.0,310.0,-100.0,-65.0,-5.0,75.0,390.0,20.0,-1210.0,150.0
  25 to 29 years,75.0,2745.0,120.0,425.0,525.0,905.0,190.0,35.0,-75.0,440.0,1855.0,235.0,1060.0,165.0,0.0,100.0,220.0,300.0,415.0,765.0,-30.0
  30 to 34 years,-130.0,3850.0,-220.0,500.0,90.0,645.0,-110.0,90.0,-85.0,180.0,2645.0,180.0,370.0,130.0,95.0,20.0,190.0,-320.0,305.0,1300.0,-45.0
  35 to 39 years,-450.0,1710.0,-675.0,70.0,-475.0,-80.0,-430.0,-200.0,-795.0,-465.0,1215.0,-80.0,-375.0,-250.0,-85.0,-15.0,90.0,-285.0,-160.0,-155.0,-270.0
  40 to 44 years,-445.0,950.0,-435.0,-30.0,-640.0,-300.0,-460.0,-355.0,-475.0,-800.0,525.0,-335.0,-925.0,-315.0,-275.0,-80.0,-270.0,-230.0,-495.0,-690.0,-265.0
  45 to 49 years,20.0,1305.0,290.0,210.0,5.0,45.0,40.0,-165.0,255.0,-185.0,265.0,-45.0,-340.0,-25.0,5.0,110.0,-70.0,5.0,-315.0,-40.0,80.0
  50 to 54 years,75.0,1140.0,110.0,50.0,540.0,365.0,65.0,245.0,230.0,300.0,435.0,-50.0,750.0,130.0,-90.0,90.0,60.0,420.0,240.0,350.0,-15.0
  55 to 59 years,-170.0,1265.0,-250.0,105.0,550.0,655.0,-85.0,425.0,10.0,285.0,445.0,-145.0,845.0,15.0,-165.0,10.0,305.0,240.0,385.0,265.0,-250.0
  60 to 64 years,245.0,1485.0,265.0,555.0,745.0,1165.0,65.0,805.0,655.0,625.0,630.0,255.0,1350.0,430.0,95.0,170.0,330.0,480.0,1015.0,570.0,75.0
  65 to 69 years,325.0,1385.0,445.0,1010.0,345.0,565.0,230.0,750.0,1225.0,575.0,570.0,360.0,560.0,395.0,160.0,165.0,200.0,435.0,660.0,950.0,355.0
  70 to 74 years,65.0,790.0,170.0,565.0,-405.0,-190.0,190.0,105.0,695.0,190.0,175.0,20.0,-200.0,-70.0,30.0,60.0,-195.0,-100.0,-5.0,745.0,205.0
  75 to 79 years,-20.0,360.0,140.0,225.0,-35.0,25.0,80.0,110.0,105.0,35.0,70.0,-20.0,70.0,-10.0,-40.0,10.0,-110.0,55.0,180.0,100.0,35.0
  80 to 84 years,-80.0,240.0,-10.0,40.0,330.0,235.0,45.0,210.0,35.0,-25.0,45.0,-55.0,310.0,90.0,0.0,40.0,15.0,245.0,110.0,-35.0,-10.0
  85 to 89 years,-45.0,185.0,45.0,85.0,290.0,300.0,5.0,135.0,85.0,20.0,15.0,10.0,260.0,95.0,-5.0,50.0,5.0,205.0,125.0,80.0,25.0
  90 to 94 years,20.0,75.0,5.0,15.0,130.0,105.0,10.0,75.0,65.0,15.0,20.0,95.0,125.0,40.0,40.0,80.0,-15.0,80.0,85.0,55.0,0.0
  95 to 99 years,20.0,15.0,20.0,25.0,25.0,20.0,5.0,20.0,30.0,-5.0,-5.0,15.0,20.0,10.0,20.0,15.0,10.0,10.0,20.0,0.0,10.0
  100 years and over,10.0,0.0,11.0,15.0,5.0,5.0,-5.0,-5.0,10.0,0.0,0.0,0.0,10.0,5.0,5.0,5.0,0.0,5.0,15.0,5.0,6.0
total martial status,-225.0,18405.0,455.0,4615.0,2195.0,5180.0,-350.0,2495.0,2175.0,1740.0,9105.0,540.0,4175.0,880.0,-200.0,1115.0,1400.0,2220.0,2770.0,3055.0,170.0
    Married,-420.0,6195.0,200.0,1990.0,-445.0,600.0,-360.0,755.0,1430.0,-30.0,3125.0,-10.0,-515.0,325.0,-250.0,455.0,-230.0,-540.0,910.0,1260.0,115.0
    Living common law,125.0,3170.0,-185.0,1230.0,610.0,1170.0,65.0,240.0,785.0,435.0,3240.0,180.0,770.0,365.0,65.0,85.0,195.0,465.0,420.0,1930.0,10.0
    Never married,-275.0,2600.0,-250.0,-2145.0,65.0,880.0,-485.0,165.0,-4580.0,180.0,240.0,115.0,1475.0,-965.0,-310.0,-175.0,495.0,1345.0,375.0,-5450.0,-405.0
   Divorced ,-15.0,885.0,-245.0,-400.0,60.0,110.0,-15.0,140.0,-740.0,25.0,-55.0,50.0,495.0,-245.0,-40.0,-35.0,395.0,10.0,270.0,-435.0,-180.0
     English ,-545.0,8765.0,-1305.0,3305.0,3040.0,6310.0,-1135.0,2170.0,1470.0,635.0,8230.0,110.0,3745.0,1915.0,-1065.0,465.0,1545.0,2010.0,815.0,1485.0,-995.0
Cantonese,340.0,635.0,385.0,450.0,2265.0,2520.0,420.0,1775.0,240.0,1320.0,600.0,750.0,3260.0,855.0,130.0,295.0,-485.0,790.0,4175.0,185.0,220.0
Mandarin,1840.0,2295.0,2280.0,275.0,145.0,450.0,1185.0,715.0,775.0,1045.0,430.0,1105.0,1120.0,160.0,1270.0,195.0,-90.0,745.0,265.0,180.0,1215.0
median income,5912.0,6790.0,8625.0,9860.0,3236.0,5765.0,5111.0,3485.0,9803.0,2212.0,15842.0,2720.0,2497.0,9193.0,11393.0,12059.0,-298.0,4892.0,3156.0,5752.0,8262.0
average income,10992.0,13415.0,18753.0,16577.0,8864.0,10458.0,15243.0,7788.0,17928.0,6732.0,22272.0,6124.0,5634.0,17247.0,19327.0,23900.0,8496.0,8559.0,6845.0,9852.0,21909.0
 Total population 15 years and over by presence of children and labour force activity ,-200.0,15900.0,390.0,3760.0,1640.0,4740.0,-380.0,2025.0,2070.0,1355.0,8610.0,525.0,3965.0,715.0,-695.0,760.0,-680.0,1895.0,1965.0,2665.0,85.0
Employed ,430.0,15030.0,600.0,4190.0,3090.0,6140.0,-175.0,3080.0,2940.0,2175.0,9520.0,930.0,5950.0,1975.0,-95.0,680.0,445.0,3080.0,2810.0,6165.0,50.0
family income,2935.0,30950.0,5235.0,16475.0,10935.0,18245.0,2890.0,8825.0,20195.0,8035.0,19230.0,2625.0,17515.0,8000.0,1785.0,2785.0,2530.0,11725.0,9150.0,24995.0,3465.0
   $10000 to $19999 ,1105.0,4500.0,1680.0,1915.0,5005.0,6935.0,1240.0,3900.0,2915.0,2455.0,2165.0,1595.0,7660.0,2055.0,525.0,645.0,1130.0,5765.0,4490.0,3295.0,865.0
   $20000 to $29999 ,805.0,2645.0,1230.0,1450.0,3105.0,3870.0,770.0,2265.0,1970.0,1555.0,1715.0,775.0,4725.0,1505.0,420.0,510.0,260.0,3275.0,2870.0,2220.0,675.0
   $30000 to $39999 ,525.0,2370.0,750.0,1045.0,1820.0,3125.0,385.0,1330.0,1030.0,805.0,1160.0,475.0,3420.0,1000.0,295.0,310.0,20.0,2390.0,1980.0,1105.0,400.0
   $40000 to $49999 ,325.0,2410.0,645.0,1070.0,1330.0,2280.0,350.0,1220.0,1205.0,810.0,1695.0,490.0,2470.0,1005.0,310.0,205.0,135.0,1775.0,1560.0,1650.0,400.0
   $50000 to $59999 ,220.0,1790.0,570.0,1020.0,895.0,1410.0,315.0,825.0,1010.0,845.0,1515.0,285.0,1330.0,565.0,215.0,165.0,85.0,680.0,855.0,1225.0,460.0
   $60000 to $69999 ,280.0,2000.0,390.0,825.0,585.0,855.0,300.0,555.0,625.0,380.0,1280.0,160.0,865.0,530.0,190.0,195.0,-5.0,310.0,410.0,725.0,225.0
   $70000 to $79999 ,210.0,1715.0,280.0,765.0,405.0,485.0,245.0,370.0,650.0,210.0,1010.0,145.0,225.0,295.0,190.0,185.0,135.0,-5.0,165.0,865.0,270.0
   $80000 to $89999 ,160.0,1305.0,260.0,620.0,70.0,315.0,180.0,380.0,845.0,120.0,925.0,120.0,-5.0,260.0,175.0,185.0,65.0,90.0,160.0,645.0,190.0
   $90000 to $99999 ,145.0,1095.0,275.0,525.0,140.0,240.0,65.0,-90.0,350.0,130.0,575.0,150.0,-35.0,275.0,20.0,105.0,40.0,90.0,10.0,305.0,20.0
   $100000 and over ,-20.0,4140.0,225.0,985.0,-550.0,-240.0,200.0,-475.0,1420.0,-200.0,2205.0,-95.0,-1060.0,315.0,-65.0,195.0,275.0,-650.0,-835.0,860.0,-20.0
